Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.107763369330454,-0.0445,-0.020198432861837,0,0,0,10.6823173170711,0.0124898425373309,2.0561115126567E-18,0.00348506285187222,0.0524375502212246,-4.72546868397655E-19,0.0537557242577893,0,0,0,0,0,0,package://rocr/meshes/base_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/base_link.STL,,base plate-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_rear_axle,0,0,0.0445,0,0,0,0.0146411571669772,1.13609366067351E-05,0,1.26346979435413E-23,1.13609366067351E-05,-1.65728313351587E-23,4.93095849258961E-08,0,0,0,0,0,0,package://rocr/meshes/link_rear_axle.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_rear_axle.STL,,rear_axle-1,Origin_joint_rear_axle3,Axis_joint_rear_axle3,joint_rear_axle,continuous,-0.04,0,-0.0616,1.5707963267949,0.707024824141767,0,base_link,0,0,1,,,,,,,,,,,,
link_rear_right_rim,3.46944695195361E-18,1.38777878078145E-17,0.00350223742057503,0,0,0,0.0118944183288657,3.8555482465904E-07,2.64697796016969E-23,-1.45395901677307E-23,3.8555482465904E-07,1.02049206590916E-23,7.15729172321272E-07,0,0,0,0,0,0,package://rocr/meshes/link_rear_right_rim.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_rear_right_rim.STL,,wheel-1,Origin_joint_rear_right_rim3,Axis_joint_rear_right_rim,joint_rear_right_rim,fixed,0,0,0,0,0,0.24991380443404,link_rear_axle,0,0,0,,,,,,,,,,,,
link_rear_right_tyre,0,0,0.00299999999999996,0,0,0,0.000894793246519237,6.20496114930369E-08,6.61744490042422E-24,-3.89029256642903E-39,6.20496114930369E-08,-1.79628849182962E-38,1.18468076093197E-07,0,0,0,0,0,0,package://rocr/meshes/link_rear_right_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://rocr/meshes/link_rear_right_tyre.STL,,tyre-3,Origin_joint_rear_right_tyre3,Axis_joint_rear_right_tyre,joint_rear_right_tyre,fixed,0,0,0,0,0,2.8695961764224,link_rear_right_rim,0,0,0,,,,,,,,,,,,
link_rear_left_rim,6.93889390390723E-18,-1.38777878078145E-17,0.00350223742057505,0,0,0,0.0118944183288657,3.8555482465904E-07,-5.29395592033938E-23,5.49663272826212E-24,3.8555482465904E-07,1.08491688019404E-23,7.15729172321273E-07,0,0,0,0,0,0,package://rocr/meshes/link_rear_left_rim.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_rear_left_rim.STL,,wheel-2,Origin_joint_rear_left_rim3,Axis_joint_rear_left_rim,joint_rear_left_rim,fixed,0,0,0.089,3.14159265358979,0,-0.351698544940136,link_rear_axle,0,0,0,,,,,,,,,,,,
link_rear_left_tyre,6.93889390390723E-18,0,0.00300000000000003,0,0,0,0.000894793246519235,6.20496114930378E-08,-1.98523347012727E-23,-5.56094918884781E-25,6.20496114930379E-08,-2.52617851034184E-25,1.18468076093197E-07,0,0,0,0,0,0,package://rocr/meshes/link_rear_left_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://rocr/meshes/link_rear_left_tyre.STL,,tyre-2,Origin_joint_rear_left_tyre3,Axis_joint_rear_left_tyre,joint_rear_left_tyre,fixed,0,0,0.00600000000000001,3.14159265358979,0,3.14159265358979,link_rear_left_rim,0,0,0,,,,,,,,,,,,
link_front_left_axle,0.00270396295698487,0.0145761689294997,2.00947993522771E-08,0,0,0,0.00966461047960184,1.11429036688313E-06,-3.24714972635315E-07,1.00513407596102E-12,3.11973757673527E-07,-6.77610616845446E-13,1.36027548192717E-06,0,0,0,0,0,0,package://rocr/meshes/link_front_left_axle.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_front_left_axle.STL,,front_axle-2,Origin_link_front_right_axle3,Axis_link_front_right_axle3,joint_front_left_axle,continuous,-0.16,-0.074,-0.0346,-1.5708,0,-1.5708,base_link,0,1,0,,,,,,,,,,,,
link_front_left_rim,-6.93889390390723E-18,0,-0.00249776257942494,0,0,0,0.0118944183288657,3.8555482465904E-07,3.97046694025453E-23,-3.31313501905856E-24,3.8555482465904E-07,-2.24125743469391E-23,7.15729172321273E-07,0,0,0,0,0,0,package://rocr/meshes/link_front_left_rim.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_front_left_rim.STL,,wheel-5,Origin_joint_front_left_rim3,Axis_joint_front_left_rim3,joint_front_left_rim,continuous,0.009,0.027,0,-1.5708,-0.51596,1.5708,link_front_left_axle,0,0,1,,,,,,,,,,,,
link_front_left_tyre,-1.38777878078145E-17,-2.77555756156289E-17,0.00299999999999996,0,0,0,0.000894793246519236,6.20496114930359E-08,2.06795153138257E-25,-1.53217789333394E-24,6.20496114930359E-08,1.57055578166012E-24,1.18468076093197E-07,0,0,0,0,0,0,package://rocr/meshes/link_front_left_tyre.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://rocr/meshes/link_front_left_tyre.STL,,tyre-4,Origin_joint_front_left_tyre3,,joint_front_left_tyre,fixed,0,0,-0.006,0,0,0.53015,link_front_left_rim,0,0,0,,,,,,,,,,,,
link_front_right_axle,0.00270396295698512,-0.0145761689294997,-2.00545071105118E-08,0,0,0,0.00966461047960182,1.11429036688316E-06,3.24714972635325E-07,-1.0087995397342E-12,3.11973757673527E-07,-6.72771986841547E-13,1.36027548192714E-06,0,0,0,0,0,0,package://rocr/meshes/link_front_right_axle.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://rocr/meshes/link_front_right_axle.STL,,front_axle-1,Origin_joint_front_right_axle3,Axis_joint_front_right_axle3,joint_front_right_axle,continuous,-0.16,-0.015,-0.0346,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
